classes	fitness	bias_r	bias_z	bias_h	weight_xr	weight_xz	weight_xh	weight_hr	weight_hz	weight_hh	bias_rw	conn0	conn1	conn2
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.28932	-1.62728	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.98639	1.1426	1.14685	1.28932	-1.62728	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.24677	1.14685	1.28932	-1.62728	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.28932	-1.78028	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.35503	-1.78028	-2.02947	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.06196	1.31547	-1.31854	2.00584	1.1426	1.14685	1.28932	-1.85643	-2.05712	2.4208	4.51276	4.54192	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.28932	-1.78028	-2.05712	2.40639	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.29198	2.00584	1.1426	1.11332	1.35503	-1.78028	-2.02947	2.4208	4.51276	4.15302	-4.97156
PP	1.0	0.92263	1.28459	-1.31854	2.00584	1.1426	1.14685	1.35503	-1.78028	-2.37422	2.4208	4.51276	4.34226	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.16936	-1.78028	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.25855	-1.78028	-2.38986	2.4208	4.51276	4.70357	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.28932	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.15481	1.14685	1.28932	-1.78028	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.21804	1.14685	1.28932	-1.70518	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.73152	1.1426	1.14685	1.28932	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.21804	1.14685	1.39973	-1.70518	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.73209	1.1426	1.14685	1.40477	-1.62728	-2.05712	2.4208	4.56118	4.15302	-4.97156
PP	1.0	1.62859	1.28459	-1.31854	0.73152	1.1426	1.14685	1.28932	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.03698	1.28459	-1.31854	1.86508	1.1426	1.14685	1.28932	-1.54405	-2.05712	2.4208	4.42513	3.95478	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.78048	1.1426	1.12815	1.46959	-1.78028	-2.02947	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.91342	1.1426	1.14685	1.40477	-1.62728	-1.72407	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.02916	1.1426	1.14685	1.28932	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.35503	-1.78028	-1.73333	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.03698	1.28459	-1.31854	1.69066	1.1426	1.14685	1.28932	-1.59662	-2.0974	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.03698	1.28459	-1.31854	1.71225	1.19686	1.14685	1.28932	-1.53385	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.25572	-1.31854	0.73152	1.1426	1.14685	1.3883	-1.4848	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.69949	1.1426	1.14685	1.3072	-1.62728	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.73209	1.1426	1.14685	1.55782	-1.62728	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.24694	-1.59662	-2.05712	2.4208	4.51276	4.15302	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	1.7087	1.1426	1.14685	1.28932	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.28932	-1.52045	-2.05712	2.4208	4.51276	4.15302	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	1.28932	-1.26051	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.1426	1.14685	-2.05016	-1.80787	-2.57126	2.4208	4.51276	4.93853	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.00584	1.2683	1.14685	1.28932	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	2.08206	1.1426	1.14685	1.28157	-1.59662	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.56894	1.08181	1.14685	1.52085	-1.59662	-2.05712	2.4208	4.51276	3.97568	-5.02319
